State,City,Property_Type,BHK,Size_in_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities_Score,Facing,Owner_Type,Availability_Status,Age_of_Property,Price_INR,Price_Lakhs
maharashtra,aurangabad,villa,2,1915,2008,fully_furnished,7,8,2,4,average,no,no,6,south_east,owner,under_construction,16,21543831.627762157,215.43831627762157
maharashtra,pune,independent_house,2,963,2008,unfurnished,6,26,1,9,average,yes,basic,3,west,broker,ready,16,9307045.676995678,93.07045676995678
maharashtra,nagpur,apartment,2,579,2020,semi_furnished,1,22,12,3,excellent,yes,basic,1,north_west,broker,under_construction,4,6308141.689176023,63.08141689176023
maharashtra,nagpur,apartment,4,2991,2004,fully_furnished,12,16,1,5,excellent,no,basic,1,south,owner,ready,20,20961556.072931897,209.61556072931896
maharashtra,nagpur,independent_house,2,1125,2018,semi_furnished,9,10,12,9,poor,yes,high,9,north_west,owner,ready,6,11461323.337118201,114.613233371182
maharashtra,nagpur,apartment,4,1176,1992,unfurnished,12,17,14,7,poor,yes,basic,5,south_east,owner,ready,32,6662080.1737969,66.62080173796899
maharashtra,aurangabad,villa,2,1440,2008,unfurnished,1,8,5,2,good,no,basic,1,north,owner,ready,16,10042935.365269382,100.42935365269382
maharashtra,nashik,duplex,5,2573,2011,semi_furnished,3,20,12,6,average,yes,basic,0,north_east,broker,ready,13,33121781.605487686,331.21781605487683
maharashtra,mumbai,villa,3,481,2009,semi_furnished,0,1,5,9,good,no,no,1,south_west,owner,ready,15,12299050.56839084,122.99050568390841
maharashtra,nagpur,apartment,4,3511,1996,semi_furnished,29,31,2,6,excellent,no,basic,4,west,owner,ready,28,25369660.371490233,253.69660371490232
maharashtra,pune,villa,1,2039,1993,fully_furnished,15,22,6,3,good,no,no,8,east,owner,ready,31,24508607.85596892,245.08607855968918
maharashtra,nagpur,apartment,3,3690,1990,unfurnished,21,25,2,5,poor,yes,high,8,north_west,broker,under_construction,34,13025609.602564719,130.2560960256472
maharashtra,pune,apartment,1,3418,1996,semi_furnished,11,12,11,5,excellent,yes,high,1,north_east,owner,under_construction,28,14585422.568720859,145.85422568720858
maharashtra,pune,apartment,2,1605,2011,fully_furnished,22,29,7,6,good,yes,basic,7,south_west,owner,ready,13,22826657.61220885,228.2665761220885
maharashtra,nagpur,apartment,3,2885,2019,unfurnished,1,2,3,5,good,yes,no,4,south,owner,ready,5,18134733.78554386,181.34733785543858
maharashtra,aurangabad,duplex,3,1367,1998,unfurnished,2,14,2,1,excellent,yes,high,2,north_east,owner,ready,26,9170571.439985137,91.70571439985137
maharashtra,pune,apartment,1,2113,2016,semi_furnished,12,24,11,4,poor,yes,no,2,south,owner,under_construction,8,13329195.659067772,133.29195659067773
maharashtra,pune,apartment,3,2977,2012,unfurnished,16,25,6,6,poor,yes,basic,1,north_east,broker,under_construction,12,26129747.942304492,261.29747942304493
maharashtra,nagpur,duplex,3,2076,2001,semi_furnished,17,24,10,9,poor,no,no,2,south,owner,ready,23,18035322.47726893,180.35322477268932
maharashtra,pune,apartment,1,1584,2002,unfurnished,11,12,1,1,average,yes,basic,8,east,owner,ready,22,6287283.591461719,62.87283591461719
maharashtra,pune,villa,3,2334,2022,semi_furnished,0,3,5,7,good,yes,basic,9,south,broker,ready,2,61534869.971782856,615.3486997178286
maharashtra,nagpur,apartment,3,2446,2004,fully_furnished,13,15,10,2,average,yes,high,2,west,builder,ready,20,14765426.722001968,147.65426722001968
maharashtra,nagpur,apartment,1,3381,2005,fully_furnished,1,10,11,2,good,yes,basic,5,north_east,broker,under_construction,19,16481524.643375747,164.81524643375747
maharashtra,mumbai,duplex,3,3181,2023,fully_furnished,5,10,6,4,average,yes,no,6,north_east,owner,ready,1,79763942.92529665,797.6394292529665
maharashtra,aurangabad,apartment,3,956,1998,semi_furnished,25,27,8,7,good,no,high,6,south_west,owner,ready,26,6611869.373067876,66.11869373067876
maharashtra,aurangabad,independent_house,4,1610,2016,unfurnished,5,6,3,9,average,yes,no,3,north_east,broker,ready,8,20105277.045342844,201.05277045342845
maharashtra,pune,apartment,2,3825,2004,fully_furnished,11,38,7,7,good,no,basic,0,south_east,broker,ready,20,29181831.162036404,291.81831162036406
maharashtra,aurangabad,apartment,4,3846,2023,semi_furnished,7,30,11,3,excellent,yes,basic,4,east,owner,under_construction,1,52919718.03459386,529.1971803459386
maharashtra,pune,apartment,1,1890,2019,semi_furnished,8,9,1,9,poor,yes,no,5,south_east,owner,ready,5,13473157.283546966,134.73157283546965
maharashtra,mumbai,apartment,2,2688,2012,unfurnished,25,33,6,4,average,yes,basic,7,north,broker,ready,12,24700412.730998214,247.00412730998215
maharashtra,nagpur,apartment,2,2160,1998,unfurnished,6,23,1,6,good,yes,no,4,north_east,owner,under_construction,26,9098305.97950739,90.9830597950739
maharashtra,nagpur,villa,4,2781,2021,unfurnished,17,21,7,4,poor,yes,basic,1,south_east,owner,ready,3,27822957.90304492,278.2295790304492
maharashtra,nagpur,apartment,3,447,2021,semi_furnished,0,1,8,3,average,yes,basic,3,south,owner,ready,3,4964889.665091819,49.64889665091819
maharashtra,aurangabad,apartment,1,3582,2005,fully_furnished,11,12,6,1,excellent,yes,basic,4,north_east,builder,ready,19,16555584.73444021,165.55584734440208
maharashtra,mumbai,apartment,1,3575,2021,semi_furnished,20,35,1,2,good,no,basic,8,south,owner,ready,3,26033061.94982345,260.3306194982345
maharashtra,aurangabad,duplex,2,862,2014,semi_furnished,19,23,8,3,excellent,no,high,7,south_east,broker,under_construction,10,12920200.87910042,129.2020087910042
maharashtra,aurangabad,duplex,1,1497,2019,fully_furnished,1,34,2,8,excellent,yes,basic,5,east,owner,ready,5,15942930.871115074,159.42930871115072
maharashtra,mumbai,independent_house,3,2764,1997,unfurnished,10,34,13,7,average,yes,basic,3,south_west,owner,ready,27,24901725.229161773,249.01725229161772
maharashtra,mumbai,villa,3,2449,2014,unfurnished,7,27,9,8,excellent,no,basic,1,south_west,owner,under_construction,10,55408768.8827143,554.087688827143
maharashtra,mumbai,apartment,4,2819,2007,fully_furnished,25,32,11,1,average,no,high,8,east,owner,ready,17,46893681.22911007,468.9368122911007
maharashtra,mumbai,apartment,5,2193,1999,fully_furnished,18,19,11,4,good,yes,basic,9,north_east,owner,ready,25,38041408.92421973,380.4140892421973
maharashtra,nagpur,independent_house,3,3940,1990,semi_furnished,16,18,1,6,good,yes,high,2,east,owner,under_construction,34,17375698.064004034,173.75698064004033
maharashtra,nashik,independent_house,1,2267,1993,unfurnished,7,8,6,9,excellent,no,high,0,east,builder,under_construction,31,8713390.332588244,87.13390332588244
maharashtra,nashik,apartment,2,1433,2015,unfurnished,12,35,5,2,excellent,yes,no,3,east,builder,ready,9,9756659.668277517,97.56659668277517
maharashtra,mumbai,apartment,3,987,2000,fully_furnished,26,36,5,8,good,yes,basic,4,west,owner,ready,24,12401050.584702982,124.01050584702982
maharashtra,nashik,duplex,2,822,2004,unfurnished,19,28,6,5,good,no,basic,7,north,owner,ready,20,8549981.84201705,85.49981842017051
maharashtra,nashik,villa,3,3729,2021,fully_furnished,11,36,13,1,good,no,no,1,north,owner,ready,3,51624486.50553869,516.2448650553869
maharashtra,mumbai,apartment,5,2056,2004,semi_furnished,22,38,6,3,good,yes,high,1,north_west,owner,ready,20,22629204.908155233,226.29204908155234
maharashtra,nashik,independent_house,4,3280,2017,semi_furnished,22,39,11,5,good,yes,basic,7,south,owner,ready,7,58525873.31939017,585.2587331939017
maharashtra,aurangabad,apartment,1,3409,2012,unfurnished,4,5,10,3,average,no,basic,8,north_east,owner,ready,12,16389183.801506123,163.89183801506124
maharashtra,pune,apartment,2,3174,1992,unfurnished,10,38,8,8,good,yes,high,6,north_west,owner,ready,32,23149344.973682404,231.49344973682403
maharashtra,pune,apartment,4,875,2021,unfurnished,12,13,4,5,good,yes,basic,1,north_west,owner,ready,3,13734022.063761927,137.34022063761927
maharashtra,mumbai,apartment,4,644,2009,semi_furnished,14,15,9,6,good,yes,basic,7,north_east,broker,under_construction,15,12675864.95731324,126.7586495731324
maharashtra,nagpur,apartment,2,3808,2003,semi_furnished,3,4,8,1,average,yes,high,6,south_west,owner,ready,21,15192201.130662182,151.9220113066218
maharashtra,mumbai,villa,3,3139,1998,fully_furnished,12,38,1,8,excellent,yes,basic,6,south_east,owner,ready,26,63029579.73795339,630.2957973795338
maharashtra,nagpur,apartment,3,887,2013,unfurnished,8,31,4,6,excellent,no,high,5,south,owner,under_construction,11,9073682.098244788,90.73682098244788
maharashtra,pune,independent_house,2,3300,1993,semi_furnished,6,30,8,6,poor,no,basic,1,north_east,owner,ready,31,18018975.84585866,180.1897584585866
maharashtra,mumbai,apartment,2,2235,2001,fully_furnished,1,2,8,2,poor,yes,no,5,south_east,owner,under_construction,23,15272672.317481736,152.72672317481735
maharashtra,aurangabad,apartment,4,2225,2013,semi_furnished,6,7,4,4,average,no,basic,0,west,owner,ready,11,16662800.055189129,166.6280005518913
maharashtra,nashik,villa,3,1496,1990,fully_furnished,8,9,8,4,good,yes,basic,7,south_west,owner,under_construction,34,18260769.50137354,182.6076950137354
maharashtra,nagpur,independent_house,2,1152,2003,semi_furnished,7,29,3,7,average,no,high,5,east,broker,ready,21,9613801.023843993,96.13801023843992
maharashtra,nashik,duplex,3,2297,2020,semi_furnished,11,30,3,3,average,yes,no,8,north_east,owner,under_construction,4,22069492.842456136,220.69492842456137
maharashtra,nashik,duplex,3,1327,1999,fully_furnished,18,19,9,5,poor,yes,basic,8,west,owner,under_construction,25,14244054.542301191,142.4405454230119
maharashtra,mumbai,apartment,4,1428,2022,fully_furnished,11,22,7,3,average,yes,basic,0,west,broker,under_construction,2,20452163.628591154,204.52163628591154
maharashtra,nashik,apartment,2,1885,2007,unfurnished,26,36,6,7,good,yes,no,5,north,owner,ready,17,11859446.7934719,118.594467934719
maharashtra,aurangabad,villa,5,1789,2014,unfurnished,2,3,2,1,average,yes,no,2,south_east,owner,ready,10,25047173.80004137,250.4717380004137
maharashtra,nashik,duplex,2,3966,2001,semi_furnished,25,30,14,4,excellent,yes,high,2,west,builder,ready,23,29121223.32739651,291.21223327396507
maharashtra,mumbai,independent_house,3,2664,2017,semi_furnished,10,37,9,2,excellent,yes,no,2,south_west,builder,ready,7,43166370.107441716,431.66370107441713
maharashtra,aurangabad,villa,3,1637,1998,fully_furnished,13,16,1,3,good,no,no,2,south_west,broker,ready,26,13485833.243995178,134.8583324399518
maharashtra,pune,villa,2,1358,2013,unfurnished,1,2,1,6,poor,yes,high,5,south_west,owner,ready,11,21762306.46330448,217.62306463304478
maharashtra,nashik,apartment,2,1748,2009,unfurnished,10,11,8,3,average,yes,high,1,south,builder,under_construction,15,7134971.561634986,71.34971561634985
maharashtra,mumbai,independent_house,4,2757,2015,unfurnished,1,28,3,6,good,yes,basic,5,north,owner,ready,9,50548427.58771614,505.4842758771614
maharashtra,pune,villa,3,2485,1994,fully_furnished,21,29,9,8,average,no,basic,8,north_east,owner,under_construction,30,42487705.059191264,424.8770505919126
maharashtra,pune,independent_house,2,1304,2016,unfurnished,7,27,7,2,good,yes,high,7,west,broker,ready,8,20299106.668941464,202.99106668941465
maharashtra,nagpur,apartment,1,1484,2017,fully_furnished,5,6,10,6,poor,yes,basic,4,west,owner,ready,7,8716473.52531285,87.1647352531285
maharashtra,aurangabad,apartment,1,1518,1996,semi_furnished,14,38,7,2,poor,no,high,2,north,broker,ready,28,3775975.6797823957,37.759756797823954
maharashtra,nashik,apartment,1,2680,2008,unfurnished,3,18,10,7,average,yes,basic,3,west,broker,under_construction,16,9347724.519962076,93.47724519962077
maharashtra,mumbai,apartment,5,2212,2011,unfurnished,0,5,10,8,excellent,yes,no,4,north_east,owner,under_construction,13,41420882.15830737,414.20882158307376
maharashtra,nagpur,duplex,3,1971,2007,unfurnished,2,10,1,9,good,no,basic,1,east,owner,ready,17,13385363.96590579,133.8536396590579
maharashtra,aurangabad,apartment,5,912,2004,unfurnished,20,22,12,6,poor,yes,high,1,south_west,owner,ready,20,8262206.05087822,82.6220605087822
maharashtra,nagpur,apartment,1,2597,2022,fully_furnished,5,24,1,2,average,no,basic,5,east,owner,ready,2,13748192.863421546,137.48192863421545
maharashtra,aurangabad,apartment,3,3942,1994,semi_furnished,6,7,7,7,good,yes,basic,0,north,owner,ready,30,18962269.537469115,189.62269537469115
maharashtra,aurangabad,independent_house,1,2662,1994,unfurnished,1,33,12,6,good,yes,basic,2,north_west,builder,ready,30,10884260.002599787,108.84260002599787
maharashtra,nashik,independent_house,3,2846,1996,semi_furnished,11,12,9,2,average,no,basic,6,south_east,owner,ready,28,17950537.4303722,179.50537430372202
maharashtra,aurangabad,apartment,2,1981,1991,fully_furnished,16,17,2,6,average,yes,high,3,south,broker,ready,33,7625733.776020575,76.25733776020576
maharashtra,nagpur,apartment,1,2000,2019,semi_furnished,20,36,7,5,average,yes,no,3,south,owner,under_construction,5,8300154.116055096,83.00154116055096
maharashtra,aurangabad,apartment,3,3477,2000,semi_furnished,18,34,12,9,good,yes,basic,1,north,builder,ready,24,24826987.90727426,248.2698790727426
maharashtra,nashik,independent_house,2,2359,2022,fully_furnished,19,20,8,1,good,no,no,2,east,owner,under_construction,2,18393446.977299213,183.93446977299214
maharashtra,nashik,apartment,3,3552,1998,unfurnished,14,15,2,4,average,no,high,0,north_west,broker,ready,26,14310329.50631577,143.1032950631577
maharashtra,nagpur,duplex,3,2636,2000,fully_furnished,8,9,1,5,excellent,yes,basic,9,east,owner,ready,24,25951009.057685144,259.51009057685144
maharashtra,pune,apartment,3,2086,2001,semi_furnished,15,16,11,7,excellent,yes,basic,7,north_east,owner,ready,23,29371306.127915245,293.71306127915244
maharashtra,pune,apartment,6,1059,1999,unfurnished,7,8,12,8,good,yes,basic,0,south,owner,ready,25,13042693.882960493,130.42693882960492
maharashtra,aurangabad,independent_house,2,427,2000,fully_furnished,22,23,7,3,average,yes,basic,6,south_west,owner,under_construction,24,4190392.645534053,41.90392645534053
maharashtra,mumbai,apartment,2,3124,2022,semi_furnished,6,7,1,7,excellent,yes,no,0,south_east,owner,ready,2,24063991.252534363,240.63991252534365
maharashtra,aurangabad,independent_house,4,2401,2009,unfurnished,7,28,2,7,average,no,basic,3,east,owner,under_construction,15,22323549.13922047,223.2354913922047
maharashtra,nagpur,apartment,3,534,1994,unfurnished,24,31,5,5,average,yes,no,5,north_east,owner,under_construction,30,3658591.889546277,36.58591889546277
maharashtra,nagpur,independent_house,1,2189,2013,semi_furnished,9,10,14,4,good,yes,basic,4,south,owner,ready,11,18867939.561733976,188.67939561733976
maharashtra,nagpur,villa,4,704,2021,unfurnished,14,15,3,9,average,yes,no,2,north,owner,ready,3,13600997.097657204,136.00997097657205
maharashtra,nagpur,duplex,1,2942,2020,unfurnished,6,7,5,6,average,yes,no,8,south_west,owner,ready,4,24352822.93095661,243.5282293095661
maharashtra,nagpur,apartment,2,1123,2003,semi_furnished,21,22,8,1,good,no,high,8,north_east,broker,ready,21,5922072.156054307,59.22072156054307
maharashtra,nashik,apartment,1,3751,2008,unfurnished,20,22,14,5,poor,no,high,7,east,broker,ready,16,15573755.157525,155.73755157525
maharashtra,pune,apartment,1,3551,2013,unfurnished,5,39,5,5,average,yes,no,7,west,owner,ready,11,21120633.14684034,211.20633146840342
maharashtra,nagpur,duplex,1,3307,2021,fully_furnished,9,21,3,6,average,yes,basic,7,west,owner,ready,3,33748609.42239327,337.4860942239327
maharashtra,mumbai,duplex,1,2838,2001,unfurnished,8,21,2,5,average,no,basic,2,north,broker,under_construction,23,16134321.631356627,161.34321631356627
maharashtra,mumbai,apartment,2,3486,2010,semi_furnished,14,26,13,6,average,no,high,4,north,owner,ready,14,34732937.123707965,347.32937123707967
maharashtra,mumbai,apartment,2,3046,2014,unfurnished,9,10,5,7,good,no,basic,7,north,broker,ready,10,25654724.23005021,256.5472423005021
maharashtra,mumbai,apartment,1,3366,2003,unfurnished,24,25,1,4,poor,no,high,9,south_east,broker,ready,21,15637331.289351746,156.37331289351746
maharashtra,nashik,apartment,3,1291,1997,unfurnished,5,6,11,9,average,yes,basic,0,east,owner,ready,27,5240837.643874921,52.40837643874921
maharashtra,mumbai,apartment,2,2670,2018,semi_furnished,1,15,6,8,average,yes,basic,8,west,builder,under_construction,6,34114442.328202024,341.1444232820202
maharashtra,nagpur,apartment,1,2427,2014,unfurnished,23,24,4,8,average,no,no,5,south_west,owner,ready,10,11035103.836099818,110.35103836099819
maharashtra,aurangabad,independent_house,2,1227,2012,unfurnished,0,16,5,9,good,yes,basic,5,north_west,owner,ready,12,13017564.820025919,130.1756482002592
maharashtra,mumbai,duplex,2,2713,2001,fully_furnished,10,37,9,3,good,yes,no,1,south,owner,ready,23,32529577.72338329,325.2957772338329
maharashtra,nashik,duplex,2,1743,2001,unfurnished,3,4,11,9,good,yes,basic,5,south_west,owner,ready,23,12850958.307127297,128.50958307127297
maharashtra,nashik,apartment,2,3577,2007,unfurnished,17,18,14,2,excellent,no,basic,7,north_west,broker,ready,17,25603120.06106725,256.0312006106725
maharashtra,mumbai,independent_house,3,2700,2008,unfurnished,14,37,14,1,poor,no,basic,3,north_east,broker,under_construction,16,26832503.03074986,268.3250303074986
maharashtra,aurangabad,villa,3,598,2016,fully_furnished,5,11,12,8,average,yes,high,0,north_west,owner,ready,8,13770425.449995987,137.70425449995986
maharashtra,mumbai,apartment,4,3527,1992,fully_furnished,0,13,12,8,good,no,basic,0,east,owner,under_construction,32,29413463.625867546,294.13463625867547
maharashtra,nashik,independent_house,3,3375,2002,semi_furnished,5,6,5,7,excellent,no,no,0,south_west,broker,ready,22,27264455.207133617,272.6445520713362
maharashtra,pune,apartment,2,806,2008,semi_furnished,2,33,10,1,excellent,yes,basic,6,north_west,owner,ready,16,8790742.944091583,87.90742944091582
maharashtra,nagpur,apartment,2,1861,2004,semi_furnished,13,36,3,8,poor,no,no,4,south,owner,ready,20,8898003.506864632,88.98003506864632
maharashtra,nashik,apartment,3,2174,2005,unfurnished,20,21,8,9,poor,no,basic,9,south_west,owner,ready,19,12610558.079537705,126.10558079537705
maharashtra,mumbai,apartment,1,1880,1994,semi_furnished,19,31,8,1,good,yes,basic,4,north,owner,ready,30,7113923.472247864,71.13923472247865
maharashtra,nagpur,independent_house,2,1900,1996,semi_furnished,11,18,1,1,average,no,no,9,south_east,broker,under_construction,28,11105862.482738916,111.05862482738915
maharashtra,mumbai,apartment,2,1770,2010,semi_furnished,16,17,8,1,average,yes,no,4,east,owner,ready,14,15527392.113482095,155.27392113482097
maharashtra,mumbai,apartment,3,885,1990,unfurnished,8,9,11,4,average,yes,basic,7,east,owner,under_construction,34,7652944.13701229,76.5294413701229
maharashtra,pune,apartment,4,3300,2014,unfurnished,14,15,9,5,average,yes,basic,4,north_west,owner,under_construction,10,38127193.6699675,381.271936699675
maharashtra,nagpur,villa,4,762,2019,unfurnished,25,29,5,8,average,yes,no,0,south,broker,under_construction,5,11085585.1766421,110.855851766421
maharashtra,nagpur,apartment,2,611,2008,semi_furnished,3,4,11,8,average,no,basic,2,west,broker,under_construction,16,4107720.41122615,41.0772041122615
maharashtra,pune,independent_house,2,1100,2013,semi_furnished,4,24,5,6,poor,no,no,7,south_west,builder,under_construction,11,14267328.83999938,142.6732883999938
maharashtra,nashik,independent_house,4,3324,2004,fully_furnished,5,11,10,7,good,no,basic,6,south_west,owner,ready,20,45048949.51638091,450.4894951638091
maharashtra,mumbai,apartment,3,3061,2013,fully_furnished,19,24,8,1,excellent,no,basic,0,north_west,owner,under_construction,11,36788265.2305766,367.882652305766
maharashtra,aurangabad,apartment,2,1315,2003,fully_furnished,11,12,1,8,average,yes,basic,1,south,owner,ready,21,5570313.782907843,55.70313782907843
maharashtra,mumbai,independent_house,3,1860,2011,semi_furnished,14,31,2,6,good,yes,basic,3,west,broker,ready,13,30536350.106293462,305.36350106293463
maharashtra,mumbai,apartment,3,542,1997,unfurnished,3,4,9,1,excellent,no,basic,0,south_east,owner,ready,27,4919811.6789690275,49.198116789690275
maharashtra,nashik,apartment,5,3756,2005,unfurnished,1,20,6,5,average,yes,basic,8,north_east,broker,ready,19,29058018.14047018,290.5801814047018
maharashtra,mumbai,independent_house,3,1493,2006,unfurnished,5,6,10,9,average,yes,basic,2,north_east,broker,ready,18,20961703.109833423,209.61703109833422
maharashtra,pune,apartment,2,2271,1994,fully_furnished,4,5,3,1,excellent,yes,basic,8,west,owner,ready,30,15353011.23473239,153.5301123473239
